homelat,homelon,homecontinent,n
34.6,-83.6,North America,1
32.3,-85.3,North America,2
42.2,-71,North America,6
41.5,-71.2,North America,6
34,-118,North America,6
41.3,-81.4,North America,13
34.3,-82.5,North America,3
40.5,-73.6,North America,12
42.3,-76.3,North America,4
36,-78.6,North America,2
33.5,-84.2,North America,2
47.2,8.3,Europe,12
33.5,-84.2,North America,3
42.2,-71,North America,1
39.1,-86.3,North America,1
39.1,-86.3,North America,14
42,-93.4,North America,22
39.2,-76.4,North America,1
32.3,-92.4,North America,1
31.1,-92,North America,10
42.2,-71.1,North America,12
42.4,-84.3,North America,1
37.6,-91.5,North America,5
42,-87.4,North America,6
40,-83,North America,1
40.5,-77.5,North America,14
40.2,-74.4,North America,13
40.2,-86.6,North America,9
40.2,-74.4,North America,2
38.4,-90.1,North America,2
37.3,-122.1,North America,5
40.5,-73.1,North America,2
43,-76,North America,2
30.4,-96.2,North America,6
22.2,114.1,Asia,20
40,-83,North America,4
40.5,-77.5,North America,3
41,-81.3,North America,2
30.2,-97.4,North America,13
43.4,-79.2,North America,1
41,-81.3,North America,4
33.3,-86.5,North America,1
33.3,-86.5,North America,1
53.3,-113.3,North America,2
38.3,-121.5,North America,2
33.6,-117.2,North America,1
37.5,-122.1,North America,23
34,-118.2,North America,24
33.6,-117.2,North America,11
34.2,-120,North America,5
35.3,-97.3,North America,1
42.2,-71,North America,9
40,-105.1,North America,2
39.4,-75.5,North America,2
40.1,-88.2,North America,27
41.4,-91.3,North America,4
34.5,-86.4,North America,6
25.4,-80.2,North America,2
42.2,-83.4,North America,22
44.6,-93.1,North America,2
39.1,-86.3,North America,1
44.6,-93.1,North America,1
37.6,-91.5,North America,1
35,-106.4,North America,4
35.5,-79,North America,7
35.1,-97.3,North America,2
-39.6,-75.1,North America,2
40.26,-79.6,North America,8
50.2,-104.4,North America,4
43,-77.4,North America,8
50.1,-106.4,North America,2
34,-118.2,North America,2
35,-90,North America,3
35.6,-83.6,North America,1
43.4,-79.2,North America,9
43,-89.2,North America,8
43,-87.5,North America,1
38.6,-77,North America,2
36,-86.5,North America,4
46.4,-117,North America,4
38.4,-90.2,North America,4
40.5,-73.6,North America,2
41.2,-71.6,North America,5
40.5,-73.6,North America,2
